step,train_acc,test_acc,train_loss,test_loss
0,0.011164274322169059,0.010626992561105207,5.1236677169799805,5.107533453311475
1000,1.0,0.06309776833156217,0.001295794383622706,7.5126837664278865
2000,1.0,0.07877258235919235,0.0005838738288730383,7.373415147523445
3000,1.0,0.08607863974495218,0.0003272106114309281,7.2986922726494345
4000,0.9723551302498671,0.02404357066950053,0.4375276267528534,7.665908511906197
5000,1.0,0.04808714133900106,0.002341975923627615,8.975857839827583
6000,1.0,0.055393198724760895,0.0013110468862578273,8.835181581226596
7000,1.0,0.05804994686503719,0.0007506933179683983,8.866029668437054
8000,1.0,0.06269925611052073,0.00041975334170274436,9.07092325885035
9000,1.0,0.04370350690754517,0.0050833639688789845,10.667279656837902
10000,1.0,0.04848565356004251,0.0019863590132445097,10.378236078557249
11000,1.0,0.05526036131774708,0.0011543954024091363,10.116241333841897
12000,1.0,0.06057385759829968,0.0006527244113385677,10.054037005817726
13000,1.0,0.06323060573857599,0.00035674090031534433,10.160182006300825
14000,1.0,0.057385759829968117,0.0024222733918577433,11.015219175346854
15000,1.0,0.06495749202975558,0.0013024420477449894,10.479287034646864
16000,1.0,0.07213071200850159,0.0007420547772198915,10.110746162224018
17000,1.0,0.07824123273113709,0.0004109387518838048,9.925645333927573
18000,1.0,0.13536131774707758,0.005759439896792173,7.405073660529762
19000,1.0,0.15794367693942615,0.0018736396450549364,7.044497379144371
20000,1.0,0.17946333687566418,0.0010714269010350108,6.434303397833351
21000,1.0,0.2130712008501594,0.000611888593994081,5.893929586020337
22000,1.0,0.8516206163655685,0.009823352098464966,0.47918741768829753
23000,1.0,0.848432518597237,0.007701146882027388,0.4874482608254797
24000,1.0,0.845510095642933,0.00546856177970767,0.502139552129189
25000,1.0,0.8372741764080766,0.0035942301619797945,0.5273011625525675
26000,1.0,0.8285069075451648,0.0022398089058697224,0.565271941693569
27000,1.0,0.8148246546227418,0.0013465810334309936,0.6171116289325399
28000,1.0,0.803134962805526,0.0007891643326729536,0.6827925035648847
29000,1.0,0.7915781083953242,0.00045364085235632956,0.761420184229753
30000,1.0,0.7780286928799149,0.00025699229445308447,0.8516368423524242
