checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,256,31843,0.9755821078431373,248.7734375,255,1,256,0.9842535078502394,0.0007973282191165408,0.7543894052505493,,,,,,,,,0.06309776833156217,0.9755821078431373,0.9842535078502394
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,255,31132,0.9613092481086923,244.17254901960786,252,1,255,0.9799899218074735,0.0,0.7320799976587296,-0.01427285973444492,-0.014630095836833279,-0.004263586042765888,-0.004331796644624797,-711.0,-0.02232829821310811,-1.0,-0.00390625,0.07093517534537726,0.9684456779759147,0.9821217148288564
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,256,30729,0.9414522058823529,240.0703125,251,1,256,0.9741189046878116,0.0005869280415452121,0.7157451957464218,-0.01985704222633944,-0.020656247992419496,-0.00587101711966187,-0.0059908954051624,-403.0,-0.01294487986637538,1.0,0.0039215686274509665,0.07598299681190224,0.9594478539447274,0.9794541114485081
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,256,31782,0.9737132352941177,248.296875,254,1,256,0.9843309026919821,0.004578933830375396,0.702865332365036,0.032261029411764786,0.034267304500634754,0.010211998004170497,0.010483317750047405,1053.0,0.03426730450063453,0.0,0.0,0.06296493092454836,0.9588248964283878,0.9794799097290889
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,254,30883,0.9611590053219632,243.17322834645668,252,1,254,0.9743818458586357,0.0,0.6904521733522415,-0.012554229972154496,-0.012893149150183247,-0.009949056833346348,-0.010107431155658486,-899.0,-0.028286451450506567,-2.0,-0.0078125,0.05273645058448459,0.9587748154994781,0.9776105510794766
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,255,30825,0.951829550717925,241.76470588235293,252,1,255,0.9729417595905164,0.0,0.7080960720777512,-0.009329454604038223,-0.009706463293150058,-0.0014400862681193116,-0.001477948582724542,-58.0,-0.0018780558883527698,1.0,0.003937007874015741,0.04250797024442083,0.9622339304446687,0.9772181693803782
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,256,30918,0.9472426470588236,241.546875,253,1,256,0.9775675382873227,0.0008303650612475258,0.721550777554512,-0.004586903659101416,-0.004819038929440356,0.004625778696806249,0.004754425073452584,93.0,0.003017031630170308,1.0,0.0039215686274509665,0.05384342897626639,0.953410401032904,0.9749637145788249
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,255,31134,0.9613710050949513,244.18823529411765,252,1,255,0.9791854702332248,0.0,0.7056271731853485,0.014128358036127775,0.014915246985549135,0.0016179319459020958,0.0016550589934039017,216.0,0.0069862216184746195,-1.0,-0.00390625,0.05871413390010627,0.9534810676239,0.976564922703688
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,248,26726,0.8726002350790126,215.53225806451613,242,1,248,0.9281929736258864,0.0,0.5966265499591827,-0.0887707700159387,-0.09233768185797442,-0.0509924966073384,-0.05207644328626826,-4408.0,-0.14158155071625877,-7.0,-0.027450980392156876,0.05481756996103435,0.9270712957442625,0.961648660715478
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,248,26846,0.8765182186234818,216.5,240,1,248,0.9375156179300197,0.0,0.6040550768375397,0.00391798354446915,0.004490009728354449,0.00932264430413332,0.010043864335360642,120.0,0.004490009728354449,0.0,0.0,0.0516294721927028,0.9034964862658152,0.9482980205963769
checkpoint_step_11000,11000,0.05526036131774708,1.0,0.05526036131774708,249,28284,0.916051301982122,227.18072289156626,245,1,249,0.9495411194634849,0.0,0.6272759288549423,0.03953308335864025,0.04510240918976516,0.012025501533465155,0.012826987949295932,1438.0,0.05356477687551209,1.0,0.0040322580645162365,0.04914984059511159,0.8883899185615388,0.938416570339797
checkpoint_step_12000,12000,0.06057385759829968,1.0,0.06057385759829968,255,30434,0.9397560599042767,238.69803921568626,252,1,255,0.9626095238887015,0.0,0.6610348075628281,0.02370475792215465,0.025877107396565124,0.013068404425216618,0.013762863089700206,2150.0,0.07601470796209875,6.0,0.024096385542168752,0.054773290825363086,0.9107751935032935,0.9498887537607353
checkpoint_step_13000,13000,0.06323060573857599,1.0,0.06323060573857599,256,31629,0.9690257352941176,247.1015625,255,1,256,0.9752551546831387,0.0014614719551378876,0.7046132534742355,0.029269675389840932,0.031146035273049932,0.012645630794437257,0.013136822855597918,1195.0,0.03926529539331014,1.0,0.0039215686274509665,0.05968827488487425,0.9416110323935053,0.9624685993451084
checkpoint_step_14000,14000,0.057385759829968117,1.0,0.057385759829968117,255,30482,0.9412382275744944,239.07450980392156,250,1,255,0.9730129712393093,0.0,0.6942695081233978,-0.02778750771962324,-0.028675716967608955,-0.0022421834438294264,-0.0022990736660684075,-1147.0,-0.036264187928799485,-1.0,-0.00390625,0.0603967410556146,0.9500066742576295,0.9702925499370498
checkpoint_step_15000,15000,0.06495749202975558,1.0,0.06495749202975558,256,31727,0.9720281862745098,247.8671875,255,1,256,0.9777351043584225,0.002223930353202658,0.7161604762077332,0.03078995870001544,0.0327121846499574,0.004722133119113181,0.004853103975683615,1245.0,0.040843776655075104,1.0,0.0039215686274509665,0.06185795253276657,0.960764049714374,0.9753344100936235
checkpoint_step_16000,16000,0.07213071200850159,1.0,0.07213071200850159,256,31961,0.9791973039215687,249.6953125,255,1,256,0.9839511991064049,0.0007485551772252753,0.7475493848323822,0.007169117647058854,0.007375421565228413,0.006216094747982459,0.006357647097126051,234.0,0.007375421565228413,0.0,0.0,0.06482465462274177,0.964154572590191,0.9782330915680456
checkpoint_step_17000,17000,0.07824123273113709,1.0,0.07824123273113709,256,32124,0.9841911764705882,250.96875,255,1,256,0.9872779426152866,0.0004948732374517291,0.7640283554792404,0.004993872549019507,0.005099965583054145,0.0033267435088816244,0.003381004578177027,163.0,0.005099965583054367,0.0,0.0,0.07177647892313142,0.9784722222222223,0.9829880820267047
checkpoint_step_18000,18000,0.13536131774707758,1.0,0.13536131774707758,254,30626,0.9531604992063739,241.1496062992126,250,1,254,0.9770533200187802,0.0,0.6952657997608185,-0.031030677264214268,-0.03152911548698645,-0.01022462259650636,-0.010356377019242857,-1498.0,-0.046631801768148406,-2.0,-0.0078125,0.09524442082890543,0.9721829931995103,0.9827608205801571
checkpoint_step_19000,19000,0.15794367693942615,1.0,0.15794367693942615,253,30489,0.9564276303406738,241.0197628458498,252,1,253,0.9674989936690471,0.0,0.6896820068359375,0.0032671311342998832,0.003427682050420877,-0.009554326349733078,-0.009778715402706362,-137.0,-0.0044733233200549005,-1.0,-0.003937007874015741,0.12384874247254694,0.9645931020058787,0.977276752101038
checkpoint_step_20000,20000,0.17946333687566418,1.0,0.17946333687566418,252,29786,0.9418200215012964,236.3968253968254,250,1,252,0.9616083025607364,0.0,0.6744276881217957,-0.014607608839377395,-0.01527309372500485,-0.005890691108310753,-0.006088575953936082,-703.0,-0.023057496146151046,-1.0,-0.0039525691699604515,0.15758944385405596,0.9504693836827812,0.968720205416188
checkpoint_step_21000,21000,0.2130712008501594,1.0,0.2130712008501594,252,29078,0.9194333776007083,230.77777777777777,247,1,252,0.9593313771827169,0.0,0.664643257856369,-0.022386643900588088,-0.0237695561673269,-0.00227692537801949,-0.002367830406576288,-708.0,-0.0237695561673269,0.0,0.0,0.1834927382217499,0.9392270098142261,0.9628128911375001
