step,value,metric,seed
30000,0.9646942290946005,avg_clustering_rolling_avg,seed000
1000,250.6953125,avg_degree,seed000
2000,246.7578125,avg_degree,seed000
3000,240.7921568627451,avg_degree,seed000
4000,244.0546875,avg_degree,seed000
5000,233.699604743083,avg_degree,seed000
6000,230.6827309236948,avg_degree,seed000
7000,235.4206349206349,avg_degree,seed000
8000,236.9763779527559,avg_degree,seed000
9000,207.06349206349208,avg_degree,seed000
10000,204.71146245059288,avg_degree,seed000
11000,216.73809523809524,avg_degree,seed000
12000,230.98425196850397,avg_degree,seed000
13000,242.5275590551181,avg_degree,seed000
14000,238.6796875,avg_degree,seed000
15000,245.9453125,avg_degree,seed000
16000,248.2421875,avg_degree,seed000
17000,251.15625,avg_degree,seed000
18000,245.6,avg_degree,seed000
19000,241.52941176470588,avg_degree,seed000
20000,233.09803921568627,avg_degree,seed000
21000,236.3937007874016,avg_degree,seed000
22000,243.48031496062995,avg_degree,seed000
23000,242.28346456692915,avg_degree,seed000
24000,241.5607843137255,avg_degree,seed000
25000,240.9763779527559,avg_degree,seed000
26000,236.3636363636364,avg_degree,seed000
27000,236.88888888888889,avg_degree,seed000
28000,233.68253968253967,avg_degree,seed000
29000,236.5418326693227,avg_degree,seed000
30000,232.4223107569721,avg_degree,seed000
1000,0.9831188725490196,density,seed000
2000,0.9676776960784312,density,seed000
3000,0.9480006175698624,density,seed000
4000,0.9570772058823528,density,seed000
5000,0.9273793839011232,density,seed000
6000,0.9301723021116725,density,seed000
7000,0.937930816416872,density,seed000
8000,0.936665525504964,density,seed000
9000,0.8249541516473787,density,seed000
10000,0.8123470732166385,density,seed000
11000,0.8634983874027699,density,seed000
12000,0.9129812330770908,density,seed000
13000,0.958606952787028,density,seed000
14000,0.935998774509804,density,seed000
15000,0.9644914215686274,density,seed000
16000,0.973498774509804,density,seed000
17000,0.9849264705882352,density,seed000
18000,0.9669291338582676,density,seed000
19000,0.9509031959240388,density,seed000
20000,0.9177088158097884,density,seed000
21000,0.9343624537051446,density,seed000
22000,0.9623727864056518,density,seed000
23000,0.9576421524384552,density,seed000
24000,0.951026709896557,density,seed000
