step,avg_clustering,avg_clustering_delta,avg_clustering_rel_change,avg_clustering_rolling_avg,avg_degree,density,density_delta,density_rel_change,density_rolling_avg,largest_component_size,largest_component_size_delta,largest_component_size_rel_change,max_degree,modularity,num_components,num_edges,num_edges_delta,num_edges_rel_change,num_nodes,sae_sparsity,test_acc,test_acc_rolling_avg,train_acc,val_acc
1000,0.0021199375137770818,,,0.0021199375137770818,1.0054084848904474,0.004211890276531474,,,0.004211890276531474,0.2450000000000007,,,0.3207802986469113,0.00018314275579987626,0.0,127.0105007469854,,,0.2450000000000007,0.007714950755937685,0.0,0.0,0.0,0.0
2000,0.0024458352514355242,0.003983187802248761,0.004024802762659814,0.001127686260777425,1.2706007980441574,0.004227669149903026,0.006765441505569924,0.006869203611344006,0.0025226579990099115,0.35864327680858443,0.48999999999999994,0.0019167450594739799,0.7802723883362777,0.00020304904432399092,0.0,194.15360626318534,256.6264943940902,0.00799276575918416,0.35864327680858443,0.007571651465322314,0.0,0.0,0.0,0.0
3000,0.003101831522005357,0.002469829376792494,0.0025242978847351176,0.001702886907608212,1.586185803582747,0.007255084574749932,0.006124122977168708,0.006311972699312201,0.003891357308091584,0.8072793816269548,0.6348425001525968,0.002488546481479754,0.9073036977771056,0.0002156021413684374,0.0,214.6022395619392,155.1113445238613,0.004871578589774056,0.8072793816269548,0.009432405927747547,0.0,0.0,0.0,0.0
4000,0.0034456528762587028,0.0034407671433300474,0.003550351360311098,0.002455844694006534,1.247723611185932,0.006099924735765977,0.008069379547103489,0.00856246041800596,0.00443923900405229,0.5238320341483508,0.6142475071174485,0.0024188195443866785,0.4441002139157324,0.0012278454799568967,0.0,141.81727477638216,207.63052569407998,0.00675576553783314,0.5238320341483508,0.006704876688320501,0.0,0.0,0.0,0.0
5000,0.0025191671414779237,0.0028625013241737897,0.0028881995201715245,0.002500491840723451,2.653430435901959,0.009025079887451966,0.007345947394444942,0.00749973746511449,0.005212303139012738,0.6415605972938175,1.0476640682967036,0.004098475072074803,1.4553436020404245,0.0006916585683525385,0.0,393.6488821272074,356.33641636100003,0.011264174254940255,0.6415605972938175,0.0038361054130317887,0.0,0.0,0.0,0.0
6000,0.00260282253630579,0.001491393673332962,0.0015412034298143474,0.002387255273703635,2.6028462489006103,0.006022740658091441,0.006679587702433383,0.007080907255762198,0.006256538949930308,1.6565023392678924,1.3355148819837237,0.00526438906194574,2.151859660851514,0.0005504481973433484,0.0,505.508362344284,252.74094959068262,0.008352156737631336,1.6565023392678924,0.011229459206224174,0.0,0.0,0.0,0.0
7000,0.004112320679348158,0.0020516910215814927,0.0021202896374558325,0.00288859152417949,2.2002700018752166,0.006531589908286549,0.008355390075562654,0.008864795965282165,0.005491455370253067,1.385929291125632,0.9799999999999999,0.003906491683289781,1.8497094366413334,0.00038612523182073564,0.0,408.6765239465065,295.14819332836845,0.009995722850059098,1.385929291125632,0.013604696322444083,0.0,0.0,0.0,0.0
8000,0.0035318904678373554,0.002023166566146563,0.002089294725903431,0.0032419345691168983,2.38400310420049,0.00937629806810463,0.008131283369538708,0.008588269869526747,0.005488097825467929,0.7172865536171736,1.2144546101028229,0.004810777875496241,1.1966724698095133,0.0005492396842419862,0.0,327.38872220191035,235.1214556351674,0.00780293281899719,0.7172865536171736,0.011454519865775068,0.0,0.0,0.0,0.0
9000,0.003997544154280719,0.006116567034228021,0.006179054612639707,0.0025099619896994073,3.267289668636014,0.013013788248166175,0.014431357764759727,0.014596511031350685,0.006636200120055685,1.4787241121994321,1.7932163840429294,0.007006464286623007,1.7373543104387192,0.0,0.0,465.6228522098115,593.8651493605261,0.018314406496506803,1.4787241121994321,0.008239703341130125,0.0,0.0,0.0,0.0
10000,0.004532217571734506,0.004466681612042937,0.004816088273702256,0.0025313132400518294,4.0587770574935655,0.01753398873332496,0.007249081784054585,0.008690426069571742,0.010690612013971083,1.0956733089748976,1.407417848401817,0.005643959664313157,2.1278157814998937,0.0,0.0,492.93024965506015,398.02927156805947,0.015373175509813312,1.0956733089748976,0.006424470933316333,0.0,0.0,0.0,0.0
