metric,lag,r_mean,ci_low,ci_high,n_seeds
density,1,-0.07462816847139576,-0.15508028366184007,0.006807299491211886,8
density,2,-0.08783804570846379,-0.16070658031489124,-0.01401716297373287,8
density,3,-0.10363072576200943,-0.1489279564756566,-0.05789949242266772,8
density,4,-0.137062653874327,-0.19095080738658746,-0.08235081742975087,8
density,5,0.09108590857128286,0.06818599336308412,0.11388989606983939,8
avg_clustering,1,-0.05665560312910008,-0.08492841108412949,-0.028291635018014644,8
avg_clustering,2,-0.048727621424746646,-0.10541338716155513,0.008273788086026966,8
avg_clustering,3,-0.1434209136472913,-0.1743831984945215,-0.1121752998550549,8
avg_clustering,4,-0.17734066824888506,-0.22479874633157018,-0.12904322596887907,8
avg_clustering,5,0.12794980820567659,0.09873754309452025,0.15694173970110828,8
num_edges,1,-0.05259388432978261,-0.11914530964266633,0.014428022271411933,8
num_edges,2,-0.12295631715355512,-0.18213789894837884,-0.06288709854436554,8
num_edges,3,-0.06785666716315887,-0.10215415066242436,-0.0333980497471818,8
num_edges,4,-0.13616749822351631,-0.19755173307467366,-0.07371959496534668,8
num_edges,5,0.09446611725074064,0.07845734409644796,0.1104261833612483,8
largest_component_size,1,0.013055472226004707,-0.08241079849612652,0.10828432414198848,8
largest_component_size,2,-0.14498810888710628,-0.22578806106033497,-0.062206940351182294,8
largest_component_size,3,0.052457441230454586,-0.027063915876763316,0.1313190425564639,8
largest_component_size,4,-0.09032640249230288,-0.1809006424352466,0.0017671122602908214,8
largest_component_size,5,0.06922988981804896,0.01843713205177139,0.11966623297188733,8
sae_sparsity,1,0.009851403330309622,-0.03296140026736904,0.05262811987970706,8
sae_sparsity,2,0.003936109362834557,-0.05730917456198267,0.0651518784877297,8
sae_sparsity,3,-0.06249503335657416,-0.10551893836453818,-0.019237596767389436,8
sae_sparsity,4,-0.3405281790376155,-0.43544526842134307,-0.2381228854299161,8
sae_sparsity,5,0.190037220660132,0.16270899688496768,0.21707409714644457,8
