checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,256,31665,0.9701286764705882,247.3828125,254,1,256,0.9848966985873837,0.000365264289068113,0.7532172352075577,,,,,,,,,0.06309776833156217,0.9701286764705882,0.9848966985873837
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,256,31817,0.9747855392156862,248.5703125,255,1,256,0.9802915959509623,0.0006765803734334675,0.7319862097501755,0.004656862745098023,0.004800252644876046,-0.004605102636421443,-0.004675721467059857,152.0,0.004800252644876046,0.0,0.0,0.07093517534537726,0.9724571078431372,0.982594147269173
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,256,31138,0.9539828431372549,243.265625,254,1,256,0.9701352221946435,0.0008494745296914118,0.7101366817951202,-0.020802696078431326,-0.02134079265801292,-0.010156373756318726,-0.010360563936556266,-679.0,-0.02134079265801303,0.0,0.0,0.07598299681190224,0.9662990196078431,0.9784411722443299
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,256,31969,0.9794424019607844,249.7578125,255,1,256,0.9835345807174811,0.002928131067514197,0.6900545358657837,0.02545955882352946,0.026687648532339958,0.013399358522837579,0.013811846241934767,831.0,0.026687648532339958,0.0,0.0,0.06296493092454836,0.9694035947712418,0.9779871329543623
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,255,30151,0.9310174463486182,236.478431372549,249,1,255,0.9708370095392987,0.0,0.6921653747558594,-0.0484249556121662,-0.049441351033223,-0.012697571178182376,-0.012910142080535314,-1818.0,-0.05686759047827583,-1.0,-0.00390625,0.05273645058448459,0.9548142304822193,0.9748356041504745
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,253,30157,0.9460129242737938,238.39525691699606,250,1,253,0.969370406341042,0.0,0.6936487704515457,0.014995477925175638,0.016106548791310793,-0.0014666031982567551,-0.0015106585182127485,6.0,0.000198998374846715,-2.0,-0.007843137254901933,0.04250797024442083,0.9521575908610654,0.9745806655326072
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,251,30016,0.9566852589641435,239.17131474103584,249,1,251,0.9709553505782532,0.0,0.6913561373949051,0.010672334690349672,0.011281383601119632,0.0015849442372112277,0.0016350243692642152,-141.0,-0.004675531385747944,-2.0,-0.007905138339920903,0.05384342897626639,0.9445718765288517,0.9703875888195314
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,253,30132,0.9452286843591191,238.19762845849803,250,1,253,0.9718619274597741,0.0,0.6788347214460373,-0.011456574605024361,-0.011975280791332588,0.0009065768815208486,0.0009336957471637319,116.0,0.0038646055437099314,2.0,0.007968127490039834,0.05871413390010627,0.9493089558656855,0.9707292281263564
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,250,26661,0.856578313253012,213.288,239,1,250,0.9298612716830824,0.0,0.592079296708107,-0.08865037110610707,-0.09378722056685518,-0.04200065577669165,-0.043216690138764724,-3471.0,-0.11519315013938669,-3.0,-0.011857707509881465,0.05481756996103435,0.9194974188587581,0.9575595165737032
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,249,26441,0.8563609275812929,212.37751004016064,240,1,249,0.9395537569216276,0.0,0.6119545251131058,-0.00021738567171913914,-0.0002537837677603072,0.009692485238545157,0.010423582026382716,-220.0,-0.008251753497618197,-1.0,-0.0040000000000000036,0.0516294721927028,0.8860559750644746,0.9470923186881613
checkpoint_step_11000,11000,0.05526036131774708,1.0,0.05526036131774708,249,27295,0.8840199507708253,219.23694779116465,241,1,249,0.9418437575211301,0.0,0.6166576445102692,0.027659023189532395,0.03229832457168791,0.002290000599502573,0.0024373279151217453,854.0,0.03229832457168791,0.0,0.0,0.04914984059511159,0.8656530638683767,0.9370862620419467
checkpoint_step_12000,12000,0.06057385759829968,1.0,0.06057385759829968,251,29150,0.9290836653386454,232.27091633466136,248,1,251,0.9572296204138048,0.0,0.6418714821338654,0.0450637145678201,0.050975902216377156,0.015385862892674629,0.016335897296988255,1855.0,0.06796116504854366,2.0,0.008032128514056325,0.054773290825363086,0.8898215145635878,0.9462090449521874
checkpoint_step_13000,13000,0.06323060573857599,1.0,0.06323060573857599,253,30666,0.9619800489365706,242.4189723320158,251,1,253,0.9741518467998637,0.0,0.6956525295972824,0.03289638359792524,0.03540734255179778,0.01692222638605889,0.0176783355061072,1516.0,0.05200686106346475,2.0,0.007968127490039834,0.05968827488487425,0.9250278883486804,0.9577417415782662
checkpoint_step_14000,14000,0.057385759829968117,1.0,0.057385759829968117,256,30525,0.9352022058823529,238.4765625,253,1,256,0.9592063482508255,0.0036159950700519056,0.684015080332756,-0.02677784305421771,-0.02783617298905472,-0.01494549854903815,-0.015342062531765288,-141.0,-0.0045979260418704815,3.0,0.011857707509881354,0.0603967410556146,0.942088640052523,0.963529271821498
