checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,256,32025,0.9811580882352942,250.1953125,255,1,256,0.984743018508206,0.000526391532989163,0.7594788670539856,,,,,,,,,0.06309776833156217,0.9811580882352942,0.984743018508206
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,256,32001,0.9804227941176471,250.0078125,255,1,256,0.9833317635895669,0.0002863145654609505,0.748130276799202,-0.0007352941176470562,-0.0007494145199062885,-0.0014112549186391377,-0.0014331200040159642,-24.0,-0.0007494145199062885,0.0,0.0,0.07093517534537726,0.9807904411764706,0.9840373910488864
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,256,31626,0.9689338235294118,247.078125,255,1,256,0.9795571617881074,0.00036439579680806896,0.7381620705127716,-0.011488970588235281,-0.011718383800506271,-0.0037746018014594984,-0.003838584230901554,-375.0,-0.011718383800506271,0.0,0.0,0.07598299681190224,0.9768382352941177,0.9825439812952933
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,256,31721,0.971844362745098,247.8203125,254,1,256,0.9817881420698021,0.00315869285802243,0.7050498425960541,0.002910539215686181,0.0030038575855309,0.002230980281694772,0.0022775396564118644,95.0,0.0030038575855309,0.0,0.0,0.06296493092454836,0.973733660130719,0.9815590224824922
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,254,30389,0.9457844449285736,239.28346456692913,250,1,254,0.9713823859662354,0.0,0.6997395157814026,-0.02605991781652439,-0.026814908657714298,-0.010405756103566755,-0.01059877957135369,-1332.0,-0.04199110999022726,-2.0,-0.0078125,0.05273645058448459,0.9621875437343611,0.9775758966080482
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,251,29668,0.945593625498008,236.398406374502,248,1,251,0.9732903975401416,0.0,0.7129745483398438,-0.00019081943056564743,-0.0002017578440720591,0.0019080115739061876,0.0019642229481116047,-721.0,-0.023725690216854778,-3.0,-0.011811023622047223,0.04250797024442083,0.9544074777238931,0.9754869751920596
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,252,29813,0.9426737494466578,236.61111111111111,248,1,252,0.9726219939096608,0.0,0.7032508850097656,-0.0029198760513501343,-0.003087876200320583,-0.0006684036304808183,-0.0006867463525481732,145.0,0.0048874207900768685,1.0,0.003984063745019917,0.05384342897626639,0.9446839399577466,0.9724315924720126
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,256,30583,0.9369791666666667,238.9296875,250,1,256,0.9765160022262347,0.00020212419976676748,0.7092439085245132,-0.005694582779991131,-0.0060408840103310935,0.003894008316573938,0.004003619433816441,770.0,0.025827659074900255,4.0,0.015873015873015817,0.05871413390010627,0.9417488472037775,0.9741427978920122
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,248,25732,0.8401462713856602,207.51612903225808,237,1,248,0.931521796076929,0.0,0.5933272242546082,-0.09683289528100647,-0.10334583598639935,-0.044994206149305715,-0.04607626095909245,-4851.0,-0.1586175326161593,-8.0,-0.03125,0.05481756996103435,0.9065997291663282,0.9602199307376081
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,250,26647,0.8561285140562249,213.176,241,1,250,0.9300619683362412,0.0,0.5868868380784988,0.015982242670564695,0.019023166816184434,-0.001459827740687758,-0.0015671428696953926,915.0,0.03555883724545317,2.0,0.008064516129032251,0.0516294721927028,0.8777513173695173,0.9460332555464683
