checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,255,31930,0.9859502856260615,250.4313725490196,254,1,255,0.9876689630110337,0.0,0.7542710155248642,,,,,,,,,0.06309776833156217,0.9859502856260615,0.9876689630110337
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,256,31492,0.964828431372549,246.03125,254,1,256,0.9766185175205442,0.0003886863584822181,0.7447829395532608,-0.02112185425351243,-0.02142283902286246,-0.011050445490489502,-0.01118841019039496,-438.0,-0.013717507046664634,1.0,0.0039215686274509665,0.07093517534537726,0.9753893584993052,0.9821437402657889
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,256,31009,0.950030637254902,242.2578125,254,1,256,0.9679498624925789,0.000432489391983564,0.7083545476198196,-0.014797794117647034,-0.015337228502476763,-0.008668655027965322,-0.008876193592943005,-483.0,-0.015337228502476874,0.0,0.0,0.07598299681190224,0.9669364514178375,0.9774124476747189
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,256,31681,0.9706188725490196,247.5078125,254,1,256,0.9805082841024587,0.0014048839343492182,0.7082239389419556,0.020588235294117574,0.021671127737108442,0.012558421609879855,0.012974248043736925,672.0,0.021671127737108664,0.0,0.0,0.06296493092454836,0.9618259803921569,0.9750255547051939
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,254,30377,0.9454109738259002,239.18897637795277,252,1,254,0.9638684267661917,0.0,0.681854635477066,-0.02520789872311935,-0.025970954651766576,-0.01663985733626705,-0.01697064431383044,-1304.0,-0.04116031690918842,-2.0,-0.0078125,0.05273645058448459,0.955353494543274,0.9707755244537432
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,255,30164,0.9314188667593022,236.58039215686276,250,1,255,0.9664711562897663,0.0,0.6727721095085144,-0.013992107066598036,-0.014800026077521178,0.002602729523574654,0.002700295446243617,-213.0,-0.007011883991177581,1.0,0.003937007874015741,0.04250797024442083,0.9491495710447406,0.9702826223861388
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,255,30850,0.9526015130461634,241.9607843137255,253,1,255,0.9690296395491013,0.0,0.6862854808568954,0.021182646286861173,0.022742341864474103,0.0025584832593349427,0.0026472422303391863,686.0,0.022742341864474103,0.0,0.0,0.05384342897626639,0.9431437845437886,0.9664564075350198
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,254,31000,0.9648003485730292,244.09448818897638,252,1,254,0.9760920819291163,0.0,0.7145864516496658,0.012198835526865848,0.012805811621962704,0.007062442380015077,0.007288159300577579,150.0,0.004862236628849326,-1.0,-0.0039215686274509665,0.05871413390010627,0.9496069094594982,0.9705309592559946
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,251,25864,0.8243505976095618,206.08764940239044,237,1,251,0.9247983692150583,0.0,0.584405705332756,-0.14044975096346746,-0.1455739015550701,-0.051293712714058026,-0.05255007561651648,-5136.0,-0.1656774193548387,-3.0,-0.011811023622047223,0.05481756996103435,0.9139174864095848,0.956640030231092
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,249,24920,0.8070993652027465,200.1606425702811,235,1,249,0.9313023984015267,0.0,0.6083934456110001,-0.017251232406815253,-0.020927057561236806,0.0065040291864684185,0.0070329159338686775,-944.0,-0.03649860810392824,-2.0,-0.007968127490039834,0.0516294721927028,0.8654167704617791,0.9440642831819005
checkpoint_step_11000,11000,0.05526036131774708,1.0,0.05526036131774708,252,26879,0.8499019793840511,213.32539682539684,241,1,252,0.9363022731910825,0.0,0.6221683174371719,0.0428026141813046,0.05303264508274319,0.004999874789555769,0.0053686909838710495,1959.0,0.07861155698234357,3.0,0.012048192771084265,0.04914984059511159,0.8271173140654531,0.9308010136025558
checkpoint_step_12000,12000,0.06057385759829968,1.0,0.06057385759829968,255,29472,0.9100509495136637,231.1529411764706,251,1,255,0.9476649944080205,0.0,0.6500515043735504,0.06014897012961262,0.07077165554221243,0.011362721216938043,0.01213574028632003,2593.0,0.09646936269950523,3.0,0.011904761904761862,0.054773290825363086,0.8556840980334871,0.9384232220002099
checkpoint_step_13000,13000,0.06323060573857599,1.0,0.06323060573857599,254,30063,0.9356384799726121,236.71653543307087,250,1,254,0.9628519632225108,0.0,0.6800610721111298,0.02558753045894835,0.028116591134400126,0.01518696881449022,0.016025672472978814,591.0,0.020052931596091117,-1.0,-0.0039215686274509665,0.05968827488487425,0.8985304696234424,0.9489397436072046
checkpoint_step_14000,14000,0.057385759829968117,1.0,0.057385759829968117,255,30039,0.9275590551181102,235.6,250,1,255,0.9613649357088062,0.0,0.666871964931488,-0.00807942485450186,-0.0086351994145627,-0.001487027513704553,-0.0015443989008733228,-24.0,-0.0007983235206067141,1.0,0.003937007874015741,0.0603967410556146,0.9244161615347953,0.9572939644464459
