checkpoint,step,test_acc,train_acc,val_acc,num_nodes,num_edges,density,avg_degree,max_degree,num_components,largest_component_size,avg_clustering,modularity,sae_sparsity,density_delta,density_rel_change,avg_clustering_delta,avg_clustering_rel_change,num_edges_delta,num_edges_rel_change,largest_component_size_delta,largest_component_size_rel_change,test_acc_rolling_avg,density_rolling_avg,avg_clustering_rolling_avg
checkpoint_step_01000,1000,0.06309776833156217,1.0,0.06309776833156217,256,31960,0.9791666666666666,249.6875,255,1,256,0.9822492899630597,0.0004896194059198295,0.7597190588712692,,,,,,,,,0.06309776833156217,0.9791666666666666,0.9822492899630597
checkpoint_step_02000,2000,0.07877258235919235,1.0,0.07877258235919235,255,31485,0.9722093561834182,246.94117647058823,253,1,255,0.9821860069850331,0.0,0.7303520739078522,-0.006957310483248436,-0.007105338365870795,-6.328297802660199e-05,-6.442659584815491e-05,-475.0,-0.014862327909887396,-1.0,-0.00390625,0.07093517534537726,0.9756880114250424,0.9822176484740464
checkpoint_step_03000,3000,0.08607863974495218,1.0,0.08607863974495218,254,30831,0.9595406305437116,242.76377952755905,252,1,254,0.9728428734816545,0.0,0.7137628793716431,-0.012668725639706557,-0.013030861675143668,-0.009343133503378565,-0.00951259072816435,-654.0,-0.02077179609337776,-1.0,-0.0039215686274509665,0.07598299681190224,0.9703055511312654,0.9790927234765824
checkpoint_step_04000,4000,0.02404357066950053,0.9723551302498671,0.02404357066950053,254,31728,0.9874575954685506,249.82677165354332,253,1,254,0.9886586631845313,0.0,0.7055760025978088,0.027916964924838972,0.029094093607083815,0.01581578970287678,0.016257291011727792,897.0,0.029094093607083815,0.0,0.0,0.06296493092454836,0.9730691940652269,0.9812291812170729
checkpoint_step_05000,5000,0.04808714133900106,1.0,0.04808714133900106,255,31065,0.9592403890690134,243.64705882352942,254,1,255,0.9732892604663463,0.0,0.6922596842050552,-0.028217206399537176,-0.02857561330129632,-0.015369402718184988,-0.015545711872568035,-663.0,-0.020896369137670234,1.0,0.003937007874015741,0.05273645058448459,0.968746205027092,0.9782635990441775
checkpoint_step_06000,6000,0.055393198724760895,1.0,0.055393198724760895,254,30656,0.9540941769630575,241.38582677165354,252,1,254,0.9734247087336381,0.0,0.6914768815040588,-0.005146212105955894,-0.005364882634842472,0.00013544826729172676,0.00013916548018499952,-409.0,-0.013165942378883022,-1.0,-0.0039215686274509665,0.04250797024442083,0.9669307205002072,0.978457544128172
checkpoint_step_07000,7000,0.05804994686503719,1.0,0.05804994686503719,255,30510,0.9421028253821213,239.2941176470588,250,1,255,0.9746418109542272,0.0,0.7086585462093353,-0.011991351580936227,-0.012568310205084199,0.001217102220589128,0.0012503301073716333,-146.0,-0.004762526096033448,1.0,0.003937007874015741,0.05384342897626639,0.9518124638047308,0.9737852600514039
checkpoint_step_08000,8000,0.06269925611052073,1.0,0.06269925611052073,255,31228,0.9642735834491277,244.92549019607844,254,1,255,0.9725346537582584,0.0,0.7045160531997681,0.022170758067006413,0.023533267781055578,-0.0021071571959687674,-0.002161981121973189,718.0,0.023533267781055356,0.0,0.0,0.05871413390010627,0.9534901952647689,0.9735337244820412
checkpoint_step_09000,9000,0.04370350690754517,1.0,0.04370350690754517,250,27069,0.8696867469879518,216.552,239,1,250,0.9397669873864365,0.0,0.594758003950119,-0.09458683646117594,-0.09809128662723143,-0.032767666371821935,-0.03369305787222565,-4159.0,-0.13318175995901116,-5.0,-0.019607843137254943,0.05481756996103435,0.9253543852730669,0.9623144840329739
checkpoint_step_10000,10000,0.04848565356004251,1.0,0.04848565356004251,251,27108,0.864,216.0,241,1,251,0.9409431194420773,0.0,0.6138235926628113,-0.005686746987951796,-0.0065388451734456066,0.0011761320556408217,0.001251514547145005,39.0,0.0014407624958439058,1.0,0.0040000000000000036,0.0516294721927028,0.8993201101456932,0.9510815868622574
